CE(14:0)
CE(15:0)
CE(16:0)
CE(16:1)
CE(16:2)
CE(17:0)
CE(17:1)
CE(18:0)
CE(18:1)
CE(18:2)
CE(18:3)
CE(20:1)
CE(20:2)
CE(20:3)
CE(20:4)
CE(20:5)
CE(22:0)
CE(22:1)
CE(22:4)
CE(22:5) (n6)
CE(22:6)
CE(24:0)
CE(24:1)
CE(24:4)
CE(24:5)
CE(24:6)
Cer(d18:1/16:0)
Cer(d18:1/18:0)
Cer(d18:1/20:0)
Cer(d18:1/22:0)
Cer(d18:1/24:0)
Cer(d18:1/24:1)
COH
DG(14:0_16:0)
DG(14:1_16:0)
DG(16:0_16:0)
DG(14:0_18:1)
DG(16:0_16:1)
DG(16:1_16:1)
DG(14:0_18:2)
DG(16:0_18:1)
DG(16:1_18:1)
DG(16:0_18:2)
DG(18:0_18:1)
DG(18:1_18:1)
DG(18:0_18:2)
DG(18:1_18:2)
DG(16:0_20:3)
DG(18:2_18:2)
DG(18:1_18:3)
DG(16:0_20:4)
DG(18:1_20:3)
DG(18:0_20:4)
DG(18:2_20:3)
DG(18:1_20:4)
DG(16:0_22:5)
DG(18:2_20:4)
DG(16:0_22:6)
Hex2Cer(d18:1/16:0)
Hex2Cer(d18:1/18:0)
Hex2Cer(d18:1/20:0)
Hex2Cer(d18:1/22:0)
Hex2Cer(d18:1/24:0)
Hex2Cer(d18:1/24:1)
dhCer(d18:0/16:0)
dhCer(d18:0/18:0)
dhCer(d18:0/20:0)
dhCer(d18:0/22:0)
dhCer(d18:0/24:0)
dhCer(d18:0/24:1)
GM3(d18:1/16:0)
GM3(d18:1/18:0)
GM3(d18:1/20:0)
GM3(d18:1/22:0)
GM3(d18:1/24:0)
GM3(d18:1/24:1)
LPC(14:0) [sn1]
LPC(15:0) [sn1]
LPC(16:0) [sn1]
LPC(16:1) [sn1]
LPC(17:0) [sn1]
LPC(17:1) [sn1] (a) / LPC(17:1) [sn2] (b)
LPC(18:0) [sn1]
LPC(18:1) [sn1]
LPC(18:2) [sn1]
LPC(18:3) [sn1] (b)
LPC(20:0) [sn1]
LPC(20:1) [sn1]
LPC(20:2) [sn1]
LPC(20:3) [sn1]
LPC(20:4) [sn1]
LPC(20:5) [sn1]
LPC(22:0) [sn1]
LPC(22:1) [sn1]
LPC(22:5) [sn1] (n3)/LPC(22:5) [sn2] (n6)
LPC(22:6) [sn1]
LPC(24:0) [sn1]
LPC(26:0) [sn1]
HexCer(d18:1/16:0)
HexCer(d18:1/18:0)
HexCer(d18:1/20:0)
HexCer(d18:1/22:0)
HexCer(d18:1/24:0)
HexCer(d18:1/24:1)
PC(29:0)
PC(31:0) (a)
PC(31:1)
PC(33:0) (a)
PC(33:1)
PC(33:2)
PC(33:3)
PC(35:0)
PC(17:0_18:1)
PC(17:0_18:2)
PC(15:0_20:3)
PC(15:0_20:4)
PC(17:0_20:4)
PC(37:5)
PC(15:0_22:6)
PC (39:5) (b)
PC(17:0_22:6)
PC(39:7)
PC 28:0
PC(14:0_16:0)
PC(16:0_16:0)
PC(32:1)
PC(32:2)
PC(32:3)
PC(16:0_18:0)
PC(16:0_18:1)
PC(16:0_18:2)
PC(16:0_18:3) (a)
PC(14:0_20:4)
PC(34:5)
PC(36:0)
PC(18:0_18:1)
PC(18:0_18:2)
PC(16:0_20:3) (a)
PC(16:0_20:5)
PC(14:0_22:6)
PC(38:2)
PC(18:0_20:3)
PC(18:0_20:4)
PC(38:5) (a)
PC(16:1_22:6)
PC(18:0_22:4)
PC(18:0_22:5) (n3)/PC(20:1_20:4)
PC(18:0_22:6)
PC(18:1_22:6) (a)
PC(40:8)
PC(16:0_20:4)
PC(16:0_22:6)
PC(18:2_18:2)
PC(38:6) (a)
LPC(O-16:0)
LPC(O-18:0)
LPC(O-18:1)
LPC(O-20:1)
LPC(O-22:0)
LPC(O-22:1)
LPC(O-24:0)
LPC(O-24:1)
LPC(O-24:2)
PC(O-16:0/16:0)
PC(O-32:1)
PC(O-32:2)
PC(O-34:1)
PC(O-34:2)
PC(O-34:3)
PC(O-34:4)
PC(O-36:0)
PC(O-18:0/18:1)
PC(O-18:0/18:2)
PC(O-16:0/20:3)
PC(O-16:0/20:4)
PC(O-36:5)
PC(O-18:0/20:4)
PC(O-38:5)
PC(O-40:5)
PC(O-18:0/22:6)
PC(O-40:7) (b)
PC(P-16:0/14:0)
PC(P-16:0/16:0)
PC(P-16:0/16:1)
PC(P-16:0/18:1)
PC(P-16:0/18:2)
PC(P-16:0/18:3)
PC(P-18:0/18:2)
PC(P-16:0/20:4)
PC(P-16:0/20:5)
PC(P-18:0/20:4)
PC(P-38:5) (a)
PC(P-16:0/22:6)
PC(P-18:0/22:6)
PE(16:0_16:0)
PE(16:0_16:1)
PE(16:0_18:1)
PE(16:0_18:2)
PE(16:0_18:3) (a)
PE(17:0_18:1)
PE(17:0_18:2)
PE(36:0)
PE(18:0_18:1)
PE(18:0_18:2)
PE(18:1_18:2)
PE(16:0_20:4)
PE(16:0_20:5)
PE(18:0_20:3) (a)
PE(18:0_20:4)
PE(38:5) (a)
PE(16:0_22:6)
PE(18:0_22:4)
PE(18:0_22:5) (n3)
PE(18:0_22:6)
PE(18:1_22:6) (a)
LPE(16:0) [sn1]
LPE(18:0) [sn1]
LPE(18:1) [sn1]
LPE(18:2) [sn1]
LPE(20:4) [sn1]
LPE(22:6) [sn1]
PE(O-18:0/22:5) (a)
PE(O-18:1/18:2)
PE(O-18:0/20:4)
PE(O-18:2/18:2)
PE(O-38:5) (a)
PE(O-18:2/22:5)
PE(O-34:1)
PE(O-16:0/18:2)
PE(O-36:2)
PE(O-36:5)
PE(O-36:6)
PE(O-18:0/22:6)
PE(P-16:0/18:1)
PE(P-16:0/18:2)
PE(P-16:0/20:4)
PE(P-16:0/22:5) (n3)
PE(P-16:0/22:6)
PE(P-18:0/18:1)
PE(P-18:0/18:2)
PE(P-18:0/20:4)
PE(P-18:0/22:5) (n3)
PE(P-18:0/22:6)
PE(P-20:0/20:4)
PG(34:1)
PG(36:1)
PG(36:2)
LPI(18:0) [sn1]
LPI(18:1) [sn1]
LPI(18:2) [sn1]
LPI(20:4) [sn1]
PI(16:0/16:0)
PI(16:0_16:1)
PI(34:0)
PI(34:1)
PI(18:0_18:1)
PI(36:2)
PI(16:0_20:3) (a)
PI(16:0_20:4)
PI(18:0_20:2)
PI(18:0_20:3) (a)
PI(18:0_20:4)
PI (38:5) (b)
PI(38:6)
PI(18:0_22:4)
PI(18:0_22:5) (n3)
PI(18:0_22:6)
PS(36:1)
PS(36:2)
PS(38:3)
PS(38:4)
SM(d17:1/14:0)
SM(d18:0/14:0)
SM(d18:1/14:0)/SM(d16:1/16:0)
SM(d18:2/14:0)
SM(d17:1/16:0)
SM(d18:0/16:0)
SM(d18:1/16:0)
SM(d18:2/16:0)
SM(34:3)
SM(d18:1/17:0)/SM(d17:1/18:0)
SM(d18:2/17:0)
SM(d18:1/18:0)/SM(d16:1/20:0)
SM(d18:2/18:0)
SM(d18:2/18:1)
SM(37:2)
SM(d18:1/20:0)/SM(d16:1/22:0)
SM(d18:2/20:0)
SM(d16:1/23:0)/SM(d17:1/22:0)
SM(d18:1/23:0)/SM(d17:1/24:0)
SM(d18:2/23:0)
SM(d18:1/24:0)
TG(48:2) [NL-16:0]
TG(48:2) [NL-18:1]
TG(48:3) [NL-18:2]
TG(50:1) [NL-14:0]
TG(50:4) [NL-14:0]
TG(48:2) [NL-14:1]
TG(48:2) [NL-16:1]
TG(50:3) [NL-14:1]
TG(50:3) [NL-18:1]
TG(49:1) [NL-15:0]
TG(51:2) [NL-15:0]
TG(48:0) [NL-16:0]
TG(50:0) [NL-18:0]
TG(50:1) [NL-18:1]
TG(50:2) [NL-18:2]
TG(50:2) [NL-18:1]
TG(52:1) [NL-18:0]
TG(52:2) [NL-16:0]
TG(52:3) [NL-18:2]
TG(52:4) [NL-16:0]
TG(48:3) [NL-16:1]
TG(50:2) [NL-18:0]
TG(50:3) [NL-16:1]
TG(52:3) [NL-16:1]
TG(52:4) [NL-18:1]
TG(49:1) [NL-16:0]
TG(51:0) [NL-16:0]
TG(49:1) [NL-18:1]
TG(51:1) [NL-18:1]
TG(51:2) [NL-18:1]
TG(53:2) [NL-17:0]
TG(51:2) [NL-16:0]
TG(54:0) [NL-18:0]
TG(54:1) [NL-18:1]
TG(54:2) [NL-18:0]
TG(54:4) [NL-18:0]
TG(48:1) [NL-18:1]
TG(54:3) [NL-18:1]
TG(54:4) [NL-18:2]
TG(56:6) [NL-20:4]
TG(58:8) [NL-22:6]
TG(54:5) [NL-18:1]
TG(54:6) [NL-18:2]
TG(56:8) [NL-20:4]
Hex3Cer(d18:1/16:0)
Hex3Cer(d18:1/18:0)
Hex3Cer(d18:1/20:0)
Hex3Cer(d18:1/22:0)
Hex3Cer(d18:1/24:0)
Hex3Cer(d18:1/24:1)
